Fiscal Year,Service,Department,Program,Fund,Fund Type,Expense Type,Description,Approved Amount
2023,Administration,City Budget Office,City Budget Office,00100 - General Fund,General Fund,Expenditures,Non-Labor,"674,023.55"
2023,Administration,City Budget Office,City Budget Office,00100 - General Fund,General Fund,Expenditures,Non-Labor,367.66
2023,Administration,City Budget Office,City Budget Office,00100 - General Fund,General Fund,Expenditures,Non-Labor,"140,043.13"
2023,Administration,City Budget Office,City Budget Office,00100 - General Fund,General Fund,Expenditures,Non-Labor,"398,825.16"
2023,Administration,City Budget Office,City Budget Office,00100 - General Fund,General Fund,Expenditures,Non-Labor,"21,529.84"
2023,Administration,City Budget Office,City Budget Office,00100 - General Fund,General Fund,Expenditures,Non-Labor,"54,216"
2023,Administration,City Budget Office,City Budget Office,00100 - General Fund,General Fund,Expenditures,Non-Labor,"97,503"
2023,Administration,City Budget Office,City Budget Office,00100 - General Fund,General Fund,Expenditures,Labor,"412,487.25"
2023,Administration,City Budget Office,City Budget Office,00100 - General Fund,General Fund,Expenditures,Labor,"737,260"
2023,Administration,City Budget Office,City Budget Office,00100 - General Fund,General Fund,Expenditures,Labor,"3,400"
2023,Administration,City Budget Office,City Budget Office,00100 - General Fund,General Fund,Expenditures,Labor,"4,972,607.72"
2023,Administration,City Budget Office,City Budget Office,00100 - General Fund,General Fund,Expenditures,Labor,"654,733.61"
2023,Administration,City Budget Office,City Budget Office,00100 - General Fund,General Fund,Expenditures,Labor,"17,295.2"
2023,Administration,City Budget Office,City Budget Office,00100 - General Fund,General Fund,Expenditures,Non-Labor,"20,000"
2023,Administration,City Budget Office,City Budget Office,00100 - General Fund,General Fund,Expenditures,Labor,"11,553.27"
2023,Administration,Civil Service Commissions,Civil Service Commissions,00100 - General Fund,General Fund,Expenditures,Non-Labor,"162,240.46"
2023,Administration,Civil Service Commissions,Civil Service Commissions,00100 - General Fund,General Fund,Expenditures,Non-Labor,"36,178.66"
2023,Administration,Civil Service Commissions,Civil Service Commissions,00100 - General Fund,General Fund,Expenditures,Non-Labor,"35,044.9"
2023,Administration,Civil Service Commissions,Civil Service Commissions,00100 - General Fund,General Fund,Expenditures,Non-Labor,693.48
2023,Administration,Civil Service Commissions,Civil Service Commissions,00100 - General Fund,General Fund,Expenditures,Non-Labor,"18,900"
2023,Administration,Civil Service Commissions,Civil Service Commissions,00100 - General Fund,General Fund,Expenditures,Non-Labor,"1,550"
