"ID","Year","Tax.Type","NAICS","Total.Taxable","Units","City"
100,"2022 Quarter 3","Sales","All NAICS","$30,084,514","2,687","Unincorporated Adams County"
100,"2022 Quarter 2","Sales","All NAICS","$27,510,308","2,735","Unincorporated Adams County"
100,"2022 Quarter 1","Sales","All NAICS","$25,145,255","2,552","Unincorporated Adams County"
100,"2021 Quarter 4","Sales","All NAICS","$32,836,478","2,790","Unincorporated Adams County"
100,"2021 Quarter 3","Sales","All NAICS","$38,006,340","2,613","Unincorporated Adams County"
100,"2021 Quarter 2","Sales","All NAICS","$35,999,292","2,557","Unincorporated Adams County"
100,"2021 Quarter 1","Sales","All NAICS","$142,909,775","2,489","Unincorporated Adams County"
100,"2021 Annual","Sales","All NAICS","$249,515,847","4,878","Unincorporated Adams County"
100,"2020 Quarter 4","Sales","All NAICS","$33,971,882","2,619","Unincorporated Adams County"
100,"2020 Quarter 3","Sales","All NAICS","$55,887,547","2,374","Unincorporated Adams County"
100,"2020 Quarter 2","Sales","All NAICS","$75,342,147","2,353","Unincorporated Adams County"
100,"2020 Quarter 1","Sales","All NAICS","$32,481,798","2,131","Unincorporated Adams County"
100,"2020 Annual","Sales","All NAICS","$197,299,129","4,459","Unincorporated Adams County"
100,"2019 Quarter 4","Sales","All NAICS","$30,066,867","2,162","Unincorporated Adams County"
100,"2019 Quarter 3","Sales","All NAICS","$30,889,757","1,966","Unincorporated Adams County"
100,"2019 Quarter 2","Sales","All NAICS","$31,225,799","1,815","Unincorporated Adams County"
100,"2019 Quarter 1","Sales","All NAICS","$20,800,836","1,654","Unincorporated Adams County"
100,"2019 Annual","Sales","All NAICS","$112,676,484","3,600","Unincorporated Adams County"
100,"2018 Quarter 4","Sales","All NAICS","$26,129,306","1,695","Unincorporated Adams County"
100,"2018 Quarter 3","Sales","All NAICS","$23,867,102","1,351","Unincorporated Adams County"
100,"2018 Quarter 2","Sales","All NAICS","$28,687,266","1,285","Unincorporated Adams County"
100,"2018 Quarter 1","Sales","All NAICS","$18,567,206","1,179","Unincorporated Adams County"
100,"2018 Annual","Sales","All NAICS","$97,204,036","2,715","Unincorporated Adams County"
100,"2017 Quarter 4","Sales","All NAICS","$18,717,444","1,698","Unincorporated Adams County"
100,"2017 Quarter 3","Sales","All NAICS","$19,805,223","1,355","Unincorporated Adams County"
100,"2017 Quarter 2","Sales","All NAICS","$18,132,960","1,265","Unincorporated Adams County"
100,"2017 Quarter 1","Sales","All NAICS","$15,449,300","1,119","Unincorporated Adams County"
100,"2017 Annual","Sales","All NAICS","$72,104,927","2,684","Unincorporated Adams County"
100,"2016 Quarter 4","Sales","All NAICS","$19,557,777","1,268","Unincorporated Adams County"
100,"2016 Quarter 3","Sales","All NAICS","$17,486,548","1,106","Unincorporated Adams County"
100,"2016 Quarter 2","Sales","All NAICS","$18,727,397","1,097","Unincorporated Adams County"
100,"2016 Quarter 1","Sales","All NAICS","$15,159,159","1,068","Unincorporated Adams County"
100,"2016 Annual","Sales","All NAICS","$70,930,881","2,197","Unincorporated Adams County"
100,"2015 Quarter 4","Sales","All NAICS","$15,842,958","1,222","Unincorporated Adams County"
100,"2015 Quarter 3","Sales","All NAICS","$19,193,661","1,098","Unincorporated Adams County"
100,"2015 Quarter 2","Sales","All NAICS","$17,511,105","1,004","Unincorporated Adams County"
100,"2015 Quarter 1","Sales","All NAICS","$17,166,464","998","Unincorporated Adams County"
100,"2015 Annual","Sales","All NAICS","$69,714,188","2,058","Unincorporated Adams County"
101,"2022 Quarter 3","Sales","All NAICS","$213,062","203","Hatton"
