"Year","year_num","quarter_num","City","County","Sales","Num_Units","Completeness_pct","Administered_Dose1_Recip","Administered_Dose1_Pop_Pct","Series_Complete_Yes","Series_Complete_Pop_Pct","Booster_Doses","Booster_Doses_Vax_Pct","Series_Complete_Pop_Pct_SVI","Booster_Doses_Vax_Pct_SVI","Census2019","county_avg_quarterly_sale_per_capita","Is_Commerce_Center"
"2019 Quarter 1",2019,1,"Aberdeen","Grays Harbor County",111795928,4122,0,0,0,0,0,0,0,0,0,75061,3598.8805771306,TRUE
"2019 Quarter 2",2019,2,"Aberdeen","Grays Harbor County",120778323,4391,0,0,0,0,0,0,0,0,0,75061,4136.94256671241,TRUE
"2019 Quarter 3",2019,3,"Aberdeen","Grays Harbor County",121004635,4586,0,0,0,0,0,0,0,0,0,75061,4701.83484099599,TRUE
"2019 Quarter 4",2019,4,"Aberdeen","Grays Harbor County",120082420,4931,0,0,0,0,0,0,0,0,0,75061,3974.61295479677,TRUE
"2020 Quarter 1",2020,1,"Aberdeen","Grays Harbor County",107085980,4674,0,0,0,0,0,0,0,0,0,75061,3597.34686455017,TRUE
"2020 Quarter 2",2020,2,"Aberdeen","Grays Harbor County",120015472,4969,0,0,0,0,0,0,0,0,0,75061,3927.96604095336,TRUE
"2020 Quarter 3",2020,3,"Aberdeen","Grays Harbor County",134095229,5246,0,0,0,0,0,0,0,0,0,75061,5078.07388657225,TRUE
"2020 Quarter 4",2020,4,"Aberdeen","Grays Harbor County",135278119,5661,0,0,0,0,0,0,0,0,0,75061,4498.56402126271,TRUE
"2021 Quarter 1",2021,1,"Aberdeen","Grays Harbor County",131317886,5682,96,22623,30.1,14511,19.3,0,0,13,0,75061,4686.431875408,TRUE
"2021 Quarter 2",2021,2,"Aberdeen","Grays Harbor County",147068396,5791,96.1,36646,48.8,32996,44,0,0,15,0,75061,5617.29272191951,TRUE
"2021 Quarter 3",2021,3,"Aberdeen","Grays Harbor County",147810440,5796,96.2,44470,59.2,39005,52,0,0,16,0,75061,5826.78678674678,TRUE
"2021 Quarter 4",2021,4,"Aberdeen","Grays Harbor County",142885504,6301,96.2,46049,61.3,42057,56,15139,36,16,0,75061,4976.65619962431,TRUE
"2022 Quarter 1",2022,1,"Aberdeen","Grays Harbor County",139494535,5949,96.2,49845,66.4,45585,60.7,21784,47.8,16,15,75061,5016.00944565087,TRUE
"2022 Quarter 2",2022,2,"Aberdeen","Grays Harbor County",152537771,6065,96.1,50624,67.4,46464,61.9,23148,49.8,14,15,75061,5754.68482967187,TRUE
"2022 Quarter 3",2022,3,"Aberdeen","Grays Harbor County",162195866,6066,96.1,51117,68.1,46902,62.5,23975,51.1,14,16,75061,6429.73572161309,TRUE
"2019 Quarter 1",2019,1,"Airway Heights","Spokane County",62691232,2792,0,0,0,0,0,0,0,0,0,522798,4590.25390686269,TRUE
"2019 Quarter 2",2019,2,"Airway Heights","Spokane County",70740382,3069,0,0,0,0,0,0,0,0,0,522798,5626.10170276091,TRUE
"2019 Quarter 3",2019,3,"Airway Heights","Spokane County",73403214,3148,0,0,0,0,0,0,0,0,0,522798,5865.31462629926,TRUE
"2019 Quarter 4",2019,4,"Airway Heights","Spokane County",70414101,3468,0,0,0,0,0,0,0,0,0,522798,5850.50936690653,TRUE
"2020 Quarter 1",2020,1,"Airway Heights","Spokane County",63099736,3329,0,0,0,0,0,0,0,0,0,522798,4925.2025103386,TRUE
"2020 Quarter 2",2020,2,"Airway Heights","Spokane County",65312603,3670,0,0,0,0,0,0,0,0,0,522798,5277.08540009717,TRUE
