"County","year_num","quarter_num","Completeness_pct","Administered_Dose1_Recip","Administered_Dose1_Pop_Pct","Series_Complete_Yes","Series_Complete_Pop_Pct","Booster_Doses","Booster_Doses_Vax_Pct","Series_Complete_Pop_Pct_SVI","Booster_Doses_Vax_Pct_SVI","Census2019","Sales","Num_Units"
"Adams County",2017,1,0,0,0,0,0,0,0,0,0,19983,65893543,5277
"Adams County",2017,2,0,0,0,0,0,0,0,0,0,19983,76964664,5575
"Adams County",2017,3,0,0,0,0,0,0,0,0,0,19983,79163646,5922
"Adams County",2017,4,0,0,0,0,0,0,0,0,0,19983,71856968,6815
"Adams County",2018,1,0,0,0,0,0,0,0,0,0,19983,64391623,5412
"Adams County",2018,2,0,0,0,0,0,0,0,0,0,19983,84115725,5583
"Adams County",2018,3,0,0,0,0,0,0,0,0,0,19983,92214551,5842
"Adams County",2018,4,0,0,0,0,0,0,0,0,0,19983,85610133,6795
"Adams County",2019,1,0,0,0,0,0,0,0,0,0,19983,74777455,6533
"Adams County",2019,2,0,0,0,0,0,0,0,0,0,19983,89532610,7182
"Adams County",2019,3,0,0,0,0,0,0,0,0,0,19983,94983623,7531
"Adams County",2019,4,0,0,0,0,0,0,0,0,0,19983,101955188,8314
"Adams County",2020,1,0,0,0,0,0,0,0,0,0,19983,98178816,7992
"Adams County",2020,2,0,0,0,0,0,0,0,0,0,19983,144766929,8821
"Adams County",2020,3,0,0,0,0,0,0,0,0,0,19983,132546602,8893
"Adams County",2020,4,0,0,0,0,0,0,0,0,0,19983,107839325,9811
"Adams County",2021,1,96,3815,19.1,2362,11.8,0,0,13,0,19983,211440641,9399
"Adams County",2021,2,96.1,8062,40.3,7179,35.9,0,0,14,0,19983,117881076,9777
"Adams County",2021,3,96.2,10684,53.5,9403,47.1,0,0,15,0,19983,120950802,9706
"Adams County",2021,4,96.2,12234,61.2,11040,55.2,2680,24.3,16,0,19983,107709051,10499
"Adams County",2022,1,96.2,13181,66,11938,59.7,4222,35.4,16,14,19983,91560624,9621
"Adams County",2022,2,96.1,13420,67.2,12152,60.8,4772,39.3,14,14,19983,100283795,9977
"Adams County",2022,3,96.1,13649,68.3,12304,61.6,5090,41.4,14,15,19983,110775230,9841
"Asotin County",2017,1,0,0,0,0,0,0,0,0,0,22582,69699865,4502
"Asotin County",2017,2,0,0,0,0,0,0,0,0,0,22582,80196289,4679
"Asotin County",2017,3,0,0,0,0,0,0,0,0,0,22582,82192132,4824
"Asotin County",2017,4,0,0,0,0,0,0,0,0,0,22582,80903712,5794
"Asotin County",2018,1,0,0,0,0,0,0,0,0,0,22582,73406279,4560
"Asotin County",2018,2,0,0,0,0,0,0,0,0,0,22582,84246436,4710
"Asotin County",2018,3,0,0,0,0,0,0,0,0,0,22582,88477899,4815
"Asotin County",2018,4,0,0,0,0,0,0,0,0,0,22582,92169735,5853
"Asotin County",2019,1,0,0,0,0,0,0,0,0,0,22582,80298576,5714
"Asotin County",2019,2,0,0,0,0,0,0,0,0,0,22582,94137538,6151
"Asotin County",2019,3,0,0,0,0,0,0,0,0,0,22582,98822625,6421
"Asotin County",2019,4,0,0,0,0,0,0,0,0,0,22582,99609276,7292
"Asotin County",2020,1,0,0,0,0,0,0,0,0,0,22582,88056371,6973
"Asotin County",2020,2,0,0,0,0,0,0,0,0,0,22582,94918756,7697
"Asotin County",2020,3,0,0,0,0,0,0,0,0,0,22582,106877889,7856
"Asotin County",2020,4,0,0,0,0,0,0,0,0,0,22582,107327296,8655
"Asotin County",2021,1,96,4780,21.2,3465,15.3,0,0,5,0,22582,97115577,8424
"Asotin County",2021,2,96.1,7376,32.7,6888,30.5,0,0,6,0,22582,111075953,8759
"Asotin County",2021,3,96.2,8892,39.4,8073,35.7,0,0,6,0,22582,111053944,8699
"Asotin County",2021,4,96.2,10247,45.4,8935,39.6,3453,38.6,6,0,22582,116361807,9648
"Asotin County",2022,1,96.2,10779,47.7,9290,41.1,4426,47.6,7,7,22582,105076706,8968
"Asotin County",2022,2,96.1,10959,48.5,9537,42.2,4645,48.7,5,7,22582,121230795,9216
